Source,Target,Weight
Makeup,Beauty,2
Makeup,Reviews,1
Makeup,beauty,1
Beauty,Log,2
Log,Makeup,1
Log,Monday,1
Reviews,Watches,1
Watches,NowTo,1
NowTo,Makeup,1
beauty,blow,1
beauty,tips,1
beauty,adduct,2
beauty,related,2
blow,blooming,1
blow,every,1
blooming,fresh,1
fresh,make,1
make,reviews,1
make,laugh,2
reviews,snatches,1
snatches,beauty,1
tips,friendly,1
friendly,neighborhood,2
neighborhood,beauty,2
adduct,April,1
adduct,Aren,1
April,st,5
April,Fool,4
st,2024,5
2024,Aren,1
2024,Categories,1
2024,859,1
2024,901,1
2024,1112,1
Aren,5,1
Aren,PS,1
5,Comments,1
5,Someone,2
Comments,Excellent,1
Excellent,question,1
question,contrary,1
contrary,name,1
name,actual,1
actual,poll,1
poll,like,1
like,little,1
like,tomato,1
like,think,1
like,near,1
little,click,1
little,tedious,1
click,buttons,1
buttons,list,1
list,less,1
less,random,1
random,questions,1
questions,posting,1
questions,copypaste,1
posting,blow,1
every,Monday,1
Monday,morning,1
Monday,Toll,1
morning,past,1
past,quadrillion,1
quadrillion,years,1
years,since,1
since,2007,1
2007,Oh,1
Oh,leave,1
leave,find,1
leave,2,1
leave,part,1
leave,stand,1
find,little,1
tedious,fan,1
fan,comic,1
comic,mean,1
mean,Ah,1
mean,snake,1
Ah,would,1
would,epic,1
epic,Years,1
Years,ago,1
ago,Cemetery,1
Cemetery,perfume,1
perfume,smelled,1
perfume,person,1
smelled,like,1
smelled,really,1
tomato,vines,1
vines,thought,1
thought,joke,1
thought,prank,2
joke,longest,1
longest,time,1
time,actually,1
actually,ran,1
actually,4,1
actually,Curling,1
actually,heat,1
ran,perfume,1
person,gave,1
gave,sniff,1
sniff,smelled,1
really,good,1
good,like,1
think,Ll,1
Ll,Sub,1
Sub,Honor,1
Honor,crack,1
crack,friendly,1
PS,questions,1
copypaste,answers,1
answers,comment,1
comment,Talk,1
Talk,a,1
a,soon,1
soon,1,1
1,Stand,2
Stand,comedy,2
comedy,love,2
love,leave,2
2,family,2
family,friends,2
friends,play,2
play,April,2
Fool,pranks,2
Fool,prank,2
pranks,3,2
pranks,5,1
3,Something,2
Something,beauty,2
related,thought,2
prank,actually,2
prank,5,1
prank,pranks,1
4,ever,2
ever,successfully,2
successfully,pulled,2
pulled,April,2
Someone,life,2
life,make,2
laugh,hard,2
hard,get,2
get,tears,2
tears,eyes,2
eyes,Makeup,1
eyes,One,1
eyes,Rachel,1
Toll,Vol,1
Vol,825,1
825,Originally,1
Originally,published,1
published,April,1
Categories,Run,1
Run,Spleen,1
Spleen,says,2
says,April,3
859,1,1
part,leave,1
stand,up,1
up,enjoy,1
enjoy,many,1
many,mean,1
snake,2,1
Curling,irons,1
irons,eyelashes,1
eyelashes,4,1
eyelashes,curling,1
One,sons,1
sons,wife,1
wife,hysterical,1
hysterical,times,1
times,Spleen,1
901,calcified,1
calcified,eyelashes,1
curling,iron,1
iron,referring,1
referring,ones,1
ones,actually,1
heat,sure,1
sure,want,1
want,anything,1
anything,like,1
near,eyes,1
Rachel,says,1
