Source,Target,Weight
Makeup,Beauty,1
Makeup,Reviews,1
Makeup,beauty,1
Beauty,Log,1
Beauty,laws,1
Log,Makeup,1
Reviews,Watches,1
Watches,NowTo,1
NowTo,Makeup,1
beauty,blow,1
beauty,tips,1
beauty,adduct,1
beauty,shopping,1
beauty,treasures,1
blow,blooming,1
blooming,fresh,1
fresh,make,1
make,reviews,1
make,display,1
make,urge,1
make,displays,1
reviews,snatches,1
snatches,beauty,1
tips,friendly,1
friendly,neighborhood,1
neighborhood,beauty,1
adduct,March,1
March,with,1
with,2024,1
2024,Aren,1
Aren,22,1
22,Comments,1
Comments,never,1
never,thought,1
thought,say,1
say,ever,1
ever,sure,1
sure,belong,1
belong,Sephora,1
Sephora,anymore,1
Sephora,relatively,1
Sephora,lately,1
anymore,went,1
went,last,1
last,Saturday,1
last,couple,1
Saturday,staples,1
staples,lascar,1
lascar,eyeliner,1
eyeliner,brow,1
brow,pencil,1
pencil,want,1
want,walk,1
want,put,1
walk,rain,1
rain,La,1
La,beauty,1
shopping,last,1
shopping,experience,1
couple,years,1
years,Anywho,1
Anywho,walked,1
walked,found,1
found,things,1
things,Are,1
things,used,1
things,store,1
Are,Beauty,1
laws,around,1
around,store,1
store,looking,1
store,late,1
store,falling,1
store,feeling,1
looking,something,1
something,anything,1
something,satisfy,1
anything,move,1
anything,like,1
move,realized,1
realized,lot,1
realized,prominently,1
realized,kind,1
lot,things,1
used,seeing,1
used,feel,1
used,go,1
seeing,Clinique,1
Clinique,make,1
Clinique,cutting,1
display,example,1
example,always,1
always,comforting,1
always,find,1
comforting,sight,1
sight,gone,1
gone,mean,1
mean,know,1
know,Clinique,1
cutting,edge,1
edge,anything,1
like,always,1
like,feared,1
like,Trunk,1
like,stepping,1
like,remember,1
like,Still,1
like,magical,1
like,fun,1
find,something,1
find,beauty,1
satisfy,make,1
urge,matter,1
matter,age,1
age,color,1
color,products,1
products,pretty,1
products,though,1
pretty,bearable,1
bearable,leave,1
leave,feeling,1
feeling,heavily,1
feeling,like,1
heavily,made,1
made,handful,1
handful,skin,1
skin,care,2
care,products,1
care,section,1
though,tucked,1
tucked,away,1
away,skin,1
section,realized,1
prominently,displayed,1
displayed,items,1
items,looked,1
looked,like,1
feared,toward,1
toward,tens,1
tens,weeks,1
weeks,Grands,1
Grands,seem,1
seem,popular,1
seem,gross,1
popular,social,1
social,media,1
media,kiss,1
kiss,like,1
Trunk,Elephant,1
Elephant,Low,1
Low,Recipe,1
Recipe,Vol,1
Vol,de,1
de,Janeiro,1
Janeiro,Ordinary,1
Ordinary,front,1
front,center,1
front,doors,1
center,realized,1
kind,sort,1
sort,felt,1
felt,place,1
place,different,1
place,find,1
place,shop,1
different,compared,1
compared,used,1
feel,like,2
stepping,store,1
late,was,1
was,early,1
early,2000s,1
2000s,Sephora,1
relatively,new,1
new,US,1
US,shopping,1
experience,nothing,1
nothing,quite,1
quite,like,1
remember,walking,1
walking,finding,1
finding,interesting,1
interesting,things,1
falling,love,1
love,lines,1
lines,longer,1
longer,live,1
live,like,1
Still,Vincent,1
Vincent,Long,1
Long,Paul,1
Paul,Toe,1
Toe,UTop,1
UTop,Veil,1
Veil,Hard,1
Hard,Oh,1
Oh,make,1
displays,neat,1
neat,clean,1
clean,used,1
go,store,1
magical,special,1
special,chin,1
chin,place,1
treasures,countless,1
countless,neutral,1
neutral,epaulettes,1
epaulettes,across,1
across,influence,1
influence,bands,1
bands,bottles,1
bottles,perfumed,1
perfumed,shocked,1
shocked,shelves,1
shelves,security,1
security,officers,1
officers,flanking,1
flanking,front,1
doors,chronic,1
chronic,state,1
state,samples,1
samples,even,1
even,want,1
put,back,1
back,hand,1
hand,seem,1
gross,mismanaged,1
mismanaged,feel,1
fun,place,1
shop,Anyway,1
Anyway,maybe,1
maybe,change,1
change,mind,1
mind,future,1
future,probably,1
probably,pop,1
pop,every,1
every,sheer,1
sheer,curiosity,1
curiosity,think,1
think,may,1
may,outgrowth,1
outgrowth,stopped,1
stopped,Sephora,1
lately,experience,1
