Source,Target,Weight
Immense,works,1
works,father,1
works,house,1
father,modern,2
modern,sculptor,2
sculptor,Use,1
sculptor,August,1
sculptor,Join,1
Use,Join,2
Join,Paris,1
Join,recent,1
Join,Museum,1
Join,Considered,1
Join,inspired,1
Join,work,2
Join,known,1
Join,agreed,1
Join,creative,1
Paris,To,1
Paris,time,1
Paris,cultural,1
Paris,never,1
To,World,1
World,Travel,1
Travel,readersupported,1
readersupported,may,1
may,earn,1
earn,commission,1
commission,purchases,1
purchases,made,1
made,links,1
links,piece,1
piece,Oh,1
Oh,Paris,1
time,visit,1
time,Paris,1
time,artist,1
visit,City,1
visit,past,1
City,Right,1
Right,marvel,1
marvel,offerings,1
offerings,capital,1
capital,largest,1
largest,city,1
city,France,1
city,Join,1
France,two,1
two,million,1
million,people,1
people,Paris,1
cultural,mercy,1
mercy,countless,1
countless,museums,1
museums,galleries,1
galleries,architectural,1
galleries,designed,1
architectural,marvels,1
marvels,fashion,1
fashion,houses,1
houses,world,1
world,class,1
class,food,1
food,wine,1
wine,much,1
much,Visitors,1
Visitors,get,1
get,enough,1
enough,renowned,1
renowned,destination,1
renowned,prolific,1
destination,ooh,1
ooh,aah,1
aah,romantic,1
romantic,bridges,1
bridges,River,1
River,Seine,1
Seine,centuries,1
centuries,old,1
old,churches,1
old,photo,1
churches,cobblestones,1
cobblestones,streets,1
streets,monuments,1
monuments,squares,1
squares,Though,1
Though,spent,1
spent,considerable,1
considerable,time,1
never,gotten,1
gotten,around,1
around,visiting,1
visiting,Use,1
recent,visit,1
past,spring,1
spring,One,1
One,elegant,1
elegant,photogenic,1
photogenic,institutions,1
institutions,city,1
Museum,located,1
located,handsome,1
handsome,Hotel,1
Hotel,Iron,2
Iron,surrounded,1
Iron,later,1
surrounded,lush,1
lush,garden,1
garden,dedicated,1
dedicated,art,1
art,renowned,1
art,true,1
art,reminding,1
prolific,French,1
French,sculptor,1
August,Join,1
Considered,many,1
many,father,1
many,works,1
inspired,tradition,1
tradition,yet,1
yet,took,1
took,stance,1
stance,realized,1
realized,forms,1
forms,course,1
course,career,1
career,spanned,1
spanned,late,1
late,1800s,1
1800s,early,1
early,1900s,1
1900s,introduced,1
introduced,innovative,1
innovative,practices,1
practices,changed,1
changed,way,1
way,sculpture,1
sculpture,created,1
sculpture,somewhat,1
sculpture,drawings,1
sculpture,presented,1
created,perceived,1
perceived,Join,1
work,echoed,1
work,environment,1
echoed,belief,1
belief,art,1
true,nature,1
nature,focused,1
focused,human,1
human,form,1
human,psychic,1
form,sought,1
sought,express,1
express,essence,1
essence,human,1
psychic,delving,1
delving,lay,1
lay,surface,1
surface,manner,1
manner,developed,1
manner,placement,1
developed,technique,1
technique,render,1
render,power,1
power,emotions,1
emotions,turmoil,1
turmoil,tragedy,1
tragedy,joy,1
joy,passion,1
passion,Working,1
Working,primarily,1
primarily,bronze,1
bronze,marble,1
marble,Join,1
known,retaining,1
retaining,tool,1
tool,marks,1
marks,leaving,1
leaving,parts,1
parts,sculpture,1
somewhat,rough,1
rough,deciding,1
deciding,hide,1
hide,signs,1
signs,process,1
process,revolutionary,1
revolutionary,time,1
artist,lived,1
artist,sculpture,1
lived,Hotel,1
later,life,1
life,1911,1
1911,government,1
government,bought,1
bought,property,1
property,exchange,1
exchange,able,1
able,stay,1
stay,hotel,1
hotel,Join,1
agreed,donate,1
donate,many,1
house,museum,1
museum,subsequently,1
subsequently,opened,1
opened,public,1
public,1919,1
1919,collection,1
collection,vast,1
vast,includes,1
includes,thousands,1
thousands,sculpture,1
drawings,old,1
photo,iniquities,1
iniquities,incredible,1
incredible,oeuvre,1
oeuvre,display,1
display,within,1
within,series,1
series,galleries,1
designed,circular,1
circular,format,1
format,open,1
open,layout,1
layout,High,1
High,ceilings,1
ceilings,lots,1
lots,windows,1
windows,mirrors,1
mirrors,augment,1
augment,pieces,1
pieces,showcase,1
showcase,art,1
reminding,visitors,1
visitors,Join,1
environment,logical,1
logical,chronological,1
chronological,manner,1
placement,demonstrating,1
demonstrating,themes,1
themes,subjects,1
subjects,materials,1
materials,interest,1
interest,artist,1
presented,successive,1
successive,states,1
states,allowing,1
allowing,viewer,1
viewer,understand,1
understand,different,1
different,stages,1
stages,Join,1
creative,process,1
