Source,Target,Weight
Some,Illnesses,1
Illnesses,conditions,1
conditions,Chromosomal,1
conditions,Fatal,1
conditions,Exactly,1
Chromosomal,conditions,1
Fatal,syndrome,19
syndrome,Fatal,1
syndrome,also,1
syndrome,baby,4
syndrome,inherited,1
syndrome,full,2
syndrome,mosaic,1
syndrome,cases,1
syndrome,11,1
syndrome,screening,2
syndrome,choose,1
syndrome,affected,1
syndrome,likely,1
syndrome,Full,1
syndrome,considered,1
syndrome,live,1
also,known,1
known,Trisomy,1
Trisomy,13,1
13,rare,2
13,extra,2
13,copy,1
rare,serious,1
rare,form,1
serious,genetic,1
genetic,condition,1
genetic,material,2
condition,begins,1
condition,means,1
begins,affect,1
affect,babies,1
affect,long,1
babies,womb,1
babies,born,1
babies,full,1
womb,continue,1
continue,cause,1
cause,health,1
health,problems,2
health,conditions,1
problems,throughout,1
problems,baby,1
throughout,life,1
life,of,1
of,around,1
around,2,1
2,every,1
every,10000,1
10000,births,1
births,affected,1
affected,Fatal,2
affected,Round,1
affected,depend,1
baby,conceived,1
baby,Fatal,2
baby,cells,3
baby,3,1
baby,inherited,3
baby,high,1
baby,full,1
baby,affected,2
baby,live,1
conceived,made,1
made,inherit,1
inherit,genetic,1
material,parents,1
material,called,1
parents,genetic,1
parents,change,1
parents,pregnancy,1
called,chromosome,1
chromosome,Humans,1
chromosome,13,4
Humans,normally,1
normally,23,1
23,pairs,1
pairs,chromosomes,1
chromosomes,pair,1
chromosomes,inherited,1
pair,1,1
1,chromosomes,1
1,inherited,1
1,week,1
1,10,1
inherited,mother,1
inherited,father,1
inherited,extra,1
inherited,complete,2
inherited,part,1
mother,1,1
father,baby,1
extra,copy,6
copy,chromosome,4
copy,present,3
present,baby,3
cells,lead,1
cells,Round,1
cells,partial,1
lead,health,1
3,different,1
different,forms,1
forms,Fatal,1
full,form,3
full,mosaic,1
form,Fatal,7
form,syndrome,1
complete,extra,2
Round,80,1
Round,7,1
Round,4,1
Round,1,1
80,babies,1
born,Fatal,1
mosaic,form,1
mosaic,partial,1
partial,form,1
partial,Fatal,1
part,extra,1
cases,result,1
result,random,1
random,change,1
change,egg,1
change,caused,1
egg,speak,1
speak,healthy,1
healthy,parents,1
caused,anything,1
anything,parents,1
pregnancy,offered,1
pregnancy,progresses,1
offered,screening,1
screening,Fatal,1
screening,test,1
screening,shows,1
screening,tests,1
11,14,1
14,weeks,1
weeks,pregnant,1
pregnant,screening,1
test,show,1
test,wish,1
test,tell,1
show,baby,1
high,low,1
high,chance,1
low,chance,1
chance,Fatal,1
chance,baby,1
shows,high,1
choose,diagnostic,1
diagnostic,test,1
wish,test,1
tell,baby,1
7,10,1
10,70,1
10,431,1
10,97,1
70,pregnancies,1
pregnancies,diagnosed,1
diagnosed,Fatal,1
tests,end,1
end,miscarriage,1
miscarriage,stillbirth,1
miscarriage,decreases,1
stillbirth,risk,1
stillbirth,baby,1
risk,miscarriage,1
risk,stillbirth,1
decreases,pregnancy,1
progresses,still,1
still,risk,1
likely,health,1
Exactly,baby,1
depend,form,1
Full,form,1
considered,lifelimiting,1
lifelimiting,condition,1
means,affect,1
long,baby,1
live,Round,1
live,longer,2
4,10,1
431,babies,1
longer,1,1
longer,5,1
week,Round,1
97,live,1
5,years,1
